level,country,salid,cases,cases_per_1M,deaths,deaths_per_10M
L2,BR,10213011,29761,110803,1207,44938
L2,BR,10213110,32063,148908,845,39244
L2,BR,10213210,115349,135129,3199,37476
L2,BR,10213310,35402,166310,581,27294
L2,BR,10213410,15111,129968,383,32941
L2,BR,10213510,7749,57435,253,18752
L2,BR,10213610,229406,91669,5567,22245
L2,BR,10213611,29040,69590,1181,28301
L2,BR,10213612,38077,58691,1623,25017
L2,BR,10213613,8616,49554,335,19267
L2,BR,10213614,16901,52380,603,18688
L2,BR,10213615,5218,38829,187,13915
L2,BR,10213616,7997,36980,408,18867
L2,BR,10213617,5777,48728,161,13580
L2,BR,10213618,504,77826,11,16986
L2,BR,10213619,2351,34981,116,17260
L2,BR,10213620,2808,70602,81,20366
L2,BR,10213621,2608,103979,73,29105
L2,BR,10213622,5331,89198,110,18405
L2,BR,10213623,1122,76734,44,30092
L2,BR,10213624,2395,79428,73,24210
L2,BR,10213625,3263,88854,83,22602
L2,BR,10213626,16064,178701,196,21804
L2,BR,10213627,5043,80110,155,24622
L2,BR,10213628,1663,57026,98,33605
L2,BR,10213629,2267,101869,38,17076
L2,BR,10213630,1956,65440,72,24088
L2,BR,10213710,13332,106301,248,19774
L2,BR,10213810,14714,63739,471,20403
L2,BR,10213910,27234,97837,1117,40128
L2,BR,10214010,30281,117666,819,31825
L2,BR,10214011,12814,117174,308,28164
L2,BR,10214012,8781,96727,239,26327
L2,BR,10214013,6297,199253,94,29744
L2,BR,10214014,10847,123902,312,35639
L2,BR,10214110,18185,154594,351,29839
L2,BR,10214210,36234,65253,1720,30975
L2,BR,10214310,37026,93892,862,21859
L2,BR,10214410,8916,78820,258,22808
L2,BR,10214510,14753,99171,438,29443
L2,BR,10214610,11509,70315,374,22850
L2,BR,10214710,19776,137480,375,26070
L2,BR,10214810,20741,89359,510,21972
L2,BR,10214910,12366,87672,295,20915
L2,BR,10215010,32178,99894,1050,32596
L2,BR,10215110,99955,150907,2501,37759
L2,BR,10215210,13139,99269,249,18813
L2,BR,10215310,102315,71350,4898,34157
L2,BR,10215311,2799,22860,129,10536
L2,BR,10215312,23843,47360,800,15891
L2,BR,10215313,3855,66001,100,17121
L2,BR,10215314,2053,30997,85,12833
L2,BR,10215315,1207,61673,25,12774
L2,BR,10215410,8058,42624,418,22111
L2,BR,10215510,17339,66415,425,16279
L2,BR,10215610,50819,268616,433,22887
L2,BR,10215710,18171,62361,907,31127
L2,BR,10215810,34836,86000,990,24440
L2,BR,10215811,2263,83061,40,14682
L2,BR,10215812,3394,77726,70,16031
L2,BR,10215813,1082,79209,25,18302
L2,BR,10215910,96124,121455,2741,34633
L2,BR,10215911,8596,63704,314,23270
L2,BR,10215912,7052,73351,231,24027
L2,BR,10215913,8675,132172,190,28948
L2,BR,10215914,974,76076,19,14840
L2,BR,10215915,2431,101397,41,17101
L2,BR,10216010,9292,71241,391,29978
L2,BR,10216110,12673,109810,472,40898
L2,BR,10216111,6829,107856,201,31746
L2,BR,10216210,38429,122862,790,25257
L2,BR,10216310,167429,89088,5700,30330
L2,BR,10216311,9433,83572,353,31274
L2,BR,10216312,24599,184356,388,29078
L2,BR,10216313,21734,93506,619,26631
L2,BR,10216314,16046,126302,462,36365
L2,BR,10216315,12292,117652,255,24407
L2,BR,10216316,26984,90581,802,26922
L2,BR,10216317,5057,120911,116,27735
L2,BR,10216318,17373,139994,403,32474
L2,BR,10216319,3085,112133,71,25807
L2,BR,10216320,3225,146252,77,34919
L2,BR,10216410,40391,153124,985,37342
L2,BR,10216510,19988,112211,491,27564
L2,BR,10216610,62340,113707,1557,28399
L2,BR,10216611,10503,101162,228,21960
L2,BR,10216612,6060,115808,130,24843
L2,BR,10216710,52703,132608,1258,31653
L2,BR,10216711,10326,114252,232,25670
L2,BR,10216712,5076,147618,106,30826
L2,BR,10216713,4379,111445,104,26468
L2,BR,10216810,21495,142675,453,30068
L2,BR,10216910,40215,119026,998,29538
L2,BR,10217010,21979,166407,356,26953
L2,BR,10217210,31163,89780,646,18611
L2,BR,10217310,13532,98805,259,18911
L2,BR,10217410,27186,81893,458,13797
L2,BR,10217411,15995,73264,342,15665
L2,BR,10217510,132962,82214,4587,28363
L2,BR,10217511,6681,43367,385,24991
L2,BR,10217512,3404,30265,219,19471
L2,BR,10217513,31889,46475,1552,22619
L2,BR,10217514,20343,52227,896,23003
L2,BR,10217515,10148,31443,727,22526
L2,BR,10217516,4073,36937,229,20767
L2,BR,10217517,3070,31133,223,22615
L2,BR,10217518,789,30581,41,15891
L2,BR,10217519,7793,38857,472,23535
L2,BR,10217610,6501,47868,278,20470
L2,BR,10217710,15458,103212,427,28510
L2,BR,10217810,99269,117612,2389,28304
L2,BR,10217811,6019,36508,320,19409
L2,BR,10217910,13628,72382,468,24857
L2,BR,10218010,5916,48148,391,31822
L2,BR,10218011,4238,163610,105,40536
L2,BR,10218012,2699,32771,260,31569
